physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-XQR30-VDES-J2250-5015,VDES J2250-5015,luminous_quasar_comparison,5.9767,1e4,0.7799091653780608
HZA-XQR30-PSO-J239-07,PSO J239-07,luminous_quasar_comparison,6.1102,1e4,0.7709874287974562
HZA-GNIRS50-J0033-0125,J0033-0125,luminous_quasar_comparison,6.01884,1e4,0.7677253346698683
HZA-XQR30-ULAS-J0148-0600,ULAS J0148+0600,luminous_quasar_comparison,5.977,1e4,0.7689411255335836
HZA-GNIRS50-J1602-4228,J1602+4228,luminous_quasar_comparison,6.07949,1e4,0.7593530647354209
HZA-XQR30-CFHQS-J1509-1749,CFHQS J1509-1749,luminous_quasar_comparison,6.1225,1e4,0.7561128321226457
HZA-GNIRS50-J1257-6349,J1257+6349,luminous_quasar_comparison,5.97714,1e4,0.762834542022146
HZA-XQR30-PSO-J060-24,PSO J060+24,luminous_quasar_comparison,6.18,1e4,0.7490662594081703
HZA-XQR30-PSO-J089-15,PSO J089-15,luminous_quasar_comparison,5.957,1e4,0.7638801135622151
HZA-GNIRS50-J1630-4012,J1630+4012,luminous_quasar_comparison,6.06311,1e4,0.7547998172544247
HZA-GNIRS50-J1429-5447,J1429+5447,luminous_quasar_comparison,6.11548,1e4,0.7498603714711293
HZA-GNIRS50-J1243-2529,J1243+2529,luminous_quasar_comparison,5.84308,1e4,0.7665810522530073
HZA-XQR30-SDSS-J0842-1218,SDSS J0842+1218,luminous_quasar_comparison,6.0754,1e4,0.7477246173160732
HZA-XQR30-PSO-J158-14,PSO J158-14,luminous_quasar_comparison,6.0685,1e4,0.7479083325121835
HZA-XQR30-PSO-J108-08,PSO J108+08,luminous_quasar_comparison,5.9485,1e4,0.7513686940935554
HZA-XQR30-VDES-J0408-5632,VDES J0408-5632,luminous_quasar_comparison,6.0345,1e4,0.7418770107771407
HZA-GNIRS50-J1044-0125,J1044-0125,luminous_quasar_comparison,5.78549,1e4,0.756253346608843
HZA-XQR30-SDSS-J1306-0356,SDSS J1306+0356,luminous_quasar_comparison,6.033,1e4,0.7388182403490201
HZA-GNIRS50-J0002-2550,J0002+2550,luminous_quasar_comparison,5.81732,1e4,0.7525560027931053
HZA-GNIRS50-J0353-0104,J0353+0104,luminous_quasar_comparison,6.05732,1e4,0.7363559585017065
HZA-GNIRS50-J1143-3808,J1143+3808,luminous_quasar_comparison,5.82516,1e4,0.7494717525378527
HZA-XQR30-PSO-J029-29,PSO J029-29,luminous_quasar_comparison,5.984,1e4,0.7371062661196407
HZA-GNIRS50-J1436-5007,J1436+5007,luminous_quasar_comparison,5.81132,1e4,0.7461031195089857
HZA-XQR30-PSO-J359-06,PSO J359-06,luminous_quasar_comparison,6.1722,1e4,0.7217139731890836
